experiment,parameter_condition,staying-power,percent-inappropriate-land,informalityindex,percent-prime-land,initialcitylimit,popgrowthrate,SimulationRuntime,Politics,Develop,price-sensitivity,diffusion-rate,economicgrowthrate,initialinequality,step,metric,netlogo_n,netlogo_finite_n,netlogo_nonfinite_n,netlogo_mean,netlogo_stdev,netlogo_min,netlogo_q25,netlogo_median,netlogo_q75,netlogo_max,mesa_n,mesa_finite_n,mesa_nonfinite_n,mesa_mean,mesa_stdev,mesa_min,mesa_q25,mesa_median,mesa_q75,mesa_max,mean_difference_mesa_minus_netlogo,absolute_mean_difference,relative_mean_difference
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,slumareapercent,30,30,0,1.1879080240905213,0.3862436897346313,0.2702702702702703,0.8879781420765027,1.0973957549300015,1.3764644446462628,1.9230769230769231,30,30,0,1.0320801083617386,0.36675972732825096,0.2702702702702703,0.819672131147541,1.092896174863388,1.1042113754318676,1.9230769230769231,-0.15582791572878274,0.15582791572878274,-0.13117843517227415
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,1,slumpoppercent,30,30,0,0.027313566936208445,0.007841937090604822,0.005390835579514825,0.02223719676549865,0.02830188679245283,0.03234501347708895,0.03773584905660377,30,30,0,0.025516621743036837,0.007278603320388444,0.005390835579514825,0.0215633423180593,0.026954177897574125,0.029649595687331536,0.03773584905660377,-0.0017969451931716084,0.0017969451931716084,-0.06578947368421054
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,central-num-slums,30,30,0,9.333333333333334,2.4116575117588708,6.0,8.0,9.0,11.0,16.0,30,30,0,8.166666666666666,2.1509153357603816,4.0,7.0,8.0,9.75,13.0,-1.1666666666666679,1.1666666666666679,-0.1250000000000001
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,central-slum-density,30,30,0,2.3087581862581863,0.23870195854391787,2.0,2.1488095238095237,2.3166666666666664,2.415178571428571,3.1666666666666665,30,30,0,2.4523768823768823,0.3605083391117623,2.0,2.1653846153846152,2.354166666666667,2.65625,3.2,0.14361869611869604,0.14361869611869604,0.062206036549656785
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,centralslumareapercent,30,30,0,3.229527104959631,0.8344835680826543,2.0761245674740483,2.768166089965398,3.1141868512110724,3.8062283737024223,5.536332179930796,30,30,0,2.825836216839677,0.7442613618548035,1.384083044982699,2.422145328719723,2.768166089965398,3.3737024221453287,4.498269896193772,-0.4036908881199537,0.4036908881199537,-0.12499999999999994
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,centralslumpoppercent,30,30,0,7.0561990358940845,1.456073972853283,5.033557046979865,6.025117281318041,6.655592469545958,8.573801459093279,10.491803278688524,30,30,0,6.5236088025978445,1.3735989392681032,3.4013605442176873,5.690388543467037,6.677814938684504,7.272786685256187,9.210526315789473,-0.53259023329624,0.53259023329624,-0.07547834614457641
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,num-slums,30,30,0,9.4,2.3867450060988773,6.0,8.0,9.0,11.0,16.0,30,30,0,8.333333333333334,2.022857885020227,5.0,7.0,8.5,9.75,13.0,-1.0666666666666664,1.0666666666666664,-0.11347517730496451
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,peripheral-num-slums,30,30,0,0.06666666666666667,0.2537081317024624,0.0,0.0,0.0,0.0,1.0,30,30,0,0.16666666666666666,0.3790490217894517,0.0,0.0,0.0,0.0,1.0,0.09999999999999999,0.09999999999999999,1.5
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,periphery-slum-density,30,30,0,0.13333333333333333,0.5074162634049248,0.0,0.0,0.0,0.0,2.0,30,30,0,0.3333333333333333,0.7580980435789034,0.0,0.0,0.0,0.0,2.0,0.19999999999999998,0.19999999999999998,1.5
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,2,peripheryslumareapercent,30,30,0,0.08134920634920635,0.3096829724245443,0.0,0.0,0.0,0.0,1.25,30,30,0,0.2053715383446782,0.4672348641639988,0.0,0.0,0.0,0.0,1.2658227848101267,0.12402233199547184,0.12402233199547184,1.524567203066288
